id_cliente,idade,renda_mensal,score_credito,valor_imovel,prazo_contrato_meses,valor_financiado,inadimplente
57,67,"R$12.291,91",392,"R$497.261,76",300,"R$191.907,45",1
58,55,"R$11.844,03",305,"R$388.946,44",120,"R$167.562,95",0
59,34,"R$4.484,29",587,"R$521.769,81",180,"R$286.009,06",1
60,37,"R$6.618,43",445,"R$425.459,98",120,"R$216.638,84",0
61,56,"R$9.082,86",723,"R$509.048,47",120,"R$350.877,91",0
62,60,"R$7.251,23",756,"R$519.987,55",360,"R$346.936,90",0
63,24,"R$3.203,31",501,"R$290.910,34",240,"R$170.847,93",1
64,22,"R$6.355,57",511,"R$479.430,11",180,"R$340.940,66",0
65,26,"R$12.877,59",305,"R$381.810,81",300,"R$221.959,90",1
66,62,"R$6.525,05",675,"R$413.819,06",300,"R$323.687,05",0
67,24,"R$7.591,33",746,"R$412.709,27",240,"R$168.637,98",1
68,49,"R$5.137,06",405,"R$408.697,02",180,"R$268.540,91",0
69,38,"R$9.469,41",700,"R$552.352,53",300,"R$267.875,55",0
70,46,"R$8.287,88",395,"R$263.355,24",300,"R$115.740,18",0
71,64,"R$6.144,95",687,"R$227.765,66",360,"R$88.872,73",0
72,54,"R$4.738,36",751,"R$206.670,99",120,"R$119.094,52",0
73,30,"R$11.511,36",715,"R$506.914,43",300,"R$206.686,61",0
74,56,"R$3.986,14",803,"R$322.656,25",180,"R$129.119,10",0
75,34,"R$9.259,54",753,"R$413.218,65",240,"R$328.618,72",0
76,51,"R$2.615,30",590,"R$388.528,29",360,"R$272.309,26",1
77,68,"R$9.768,03",833,"R$311.362,49",180,"R$209.901,41",0
78,35,"R$10.425,75",492,"R$485.147,72",360,"R$338.162,67",0
79,28,"R$10.736,96",449,"R$387.253,70",120,"R$303.785,59",0
80,34,"R$7.596,98",814,"R$376.226,49",300,"R$220.708,89",0
81,43,"R$11.960,01",692,"R$423.287,13",180,"R$173.599,34",0
82,60,"R$13.769,48",615,"R$472.077,21",240,"R$345.137,92",0
83,41,"R$7.195,94",375,"R$304.102,38",120,"R$204.163,81",0
84,36,"R$6.872,49",569,"R$487.291,83",120,"R$247.132,08",0
85,65,"R$8.372,94",524,"R$544.985,35",360,"R$292.539,82",0
86,38,"R$6.805,80",829,"R$257.387,76",120,"R$130.141,99",0
87,67,"R$6.440,32",412,"R$427.829,90",180,"R$327.277,50",0
88,44,"R$6.658,15",550,"R$369.507,78",360,"R$174.321,14",0
89,46,"R$12.289,39",532,"R$469.923,06",120,"R$367.358,66",0
90,45,"R$9.929,70",382,"R$278.334,08",240,"R$210.180,05",0
91,65,"R$6.797,63",424,"R$562.893,82",180,"R$346.326,37",1
92,61,"R$2.000,00",474,"R$239.210,52",240,"R$141.112,89",1
93,49,"R$4.138,84",368,"R$375.571,91",240,"R$182.169,14",0
94,35,"R$9.258,57",346,"R$443.429,61",360,"R$137.094,78",0
95,65,"R$2.696,11",555,"R$331.366,32",300,"R$120.554,91",0
96,21,"R$8.732,48",329,"R$315.659,85",360,"R$213.738,23",0
97,45,"R$5.336,09",580,"R$422.223,56",180,"R$226.214,74",0
98,27,"R$8.229,51",536,"R$407.775,99",180,"R$152.882,99",0
99,29,"R$8.159,64",547,"R$400.593,82",360,"R$173.048,69",0
100,44,"R$8.301,47",667,"R$485.868,85",300,"R$376.022,87",1
101,21,"R$7.013,95",794,"R$360.552,73",360,"R$174.351,19",0
102,64,"R$6.931,79",324,"R$431.959,26",180,"R$325.628,59",0
103,28,"R$6.198,02",789,"R$349.339,72",300,"R$158.012,61",0
104,44,"R$9.209,73",793,"R$315.067,05",180,"R$180.095,49",0
105,31,"R$10.012,98",613,"R$371.524,14",300,"R$115.261,11",0
106,37,"R$4.952,57",674,"R$350.123,48",300,"R$196.397,41",0
107,28,"R$7.870,93",324,"R$355.119,62",360,"R$219.631,19",1
108,55,"R$8.491,46",633,"R$516.532,74",360,"R$215.472,95",0
109,55,"R$8.459,43",654,"R$374.589,65",360,"R$220.808,83",0
110,53,"R$8.416,92",415,"R$333.709,33",300,"R$208.095,76",0
111,25,"R$6.994,91",347,"R$402.807,88",300,"R$259.183,93",0
112,62,"R$8.697,58",398,"R$410.422,79",180,"R$282.453,65",0
113,59,"R$9.545,07",758,"R$281.311,88",240,"R$128.185,28",0
114,61,"R$8.352,59",822,"R$370.159,37",360,"R$216.131,79",0
115,48,"R$9.264,85",704,"R$366.131,57",180,"R$289.533,01",0
116,27,"R$10.475,88",513,"R$382.785,57",180,"R$286.733,99",0
117,29,"R$3.372,65",802,"R$472.552,84",120,"R$366.858,23",0
118,28,"R$10.358,66",747,"R$413.667,19",360,"R$203.966,14",0
119,32,"R$8.856,07",557,"R$522.793,73",180,"R$362.538,66",0
120,54,"R$5.220,94",420,"R$398.833,96",120,"R$243.268,37",0
121,53,"R$10.006,18",353,"R$577.608,73",360,"R$197.176,87",0
122,68,"R$7.004,20",630,"R$353.922,50",300,"R$251.989,35",0
123,43,"R$7.345,08",540,"R$323.043,76",120,"R$206.279,80",0
124,44,"R$6.730,80",829,"R$454.730,27",300,"R$181.645,95",0
125,57,"R$8.756,00",782,"R$536.408,19",240,"R$182.308,66",0
126,55,"R$6.036,62",486,"R$262.119,67",240,"R$188.335,88",0
127,64,"R$10.253,69",561,"R$380.300,94",240,"R$129.093,50",0
128,60,"R$7.652,84",663,"R$338.921,81",240,"R$117.157,45",0
129,42,"R$7.089,49",790,"R$414.285,10",180,"R$212.819,97",0
130,47,"R$9.882,19",730,"R$401.001,79",240,"R$147.327,62",0
131,55,"R$7.201,11",538,"R$534.538,12",180,"R$404.557,05",0
132,21,"R$10.370,44",603,"R$389.159,52",180,"R$208.255,59",1
133,55,"R$10.448,98",597,"R$537.478,41",360,"R$314.196,71",0
134,57,"R$4.662,99",375,"R$368.489,97",180,"R$281.545,88",0
135,67,"R$10.773,15",632,"R$492.648,19",180,"R$278.411,07",1
136,34,"R$4.344,91",773,"R$422.866,30",240,"R$201.620,78",1
137,23,"R$10.928,95",582,"R$572.988,54",180,"R$400.276,93",0
138,21,"R$13.070,89",371,"R$252.298,51",300,"R$131.554,78",0
139,25,"R$10.187,09",562,"R$283.614,23",240,"R$130.245,50",0
140,46,"R$2.607,55",311,"R$583.162,23",120,"R$385.828,72",1
141,34,"R$10.658,91",440,"R$326.673,49",240,"R$228.933,71",0
142,59,"R$13.615,32",316,"R$333.019,66",180,"R$231.734,42",0
143,47,"R$7.242,42",362,"R$312.427,64",300,"R$246.454,55",1
144,29,"R$7.913,24",552,"R$514.844,60",240,"R$356.959,00",0
145,35,"R$5.028,78",764,"R$274.654,24",300,"R$188.129,01",0
146,35,"R$8.780,20",675,"R$402.245,04",120,"R$293.133,11",0
147,46,"R$11.172,94",819,"R$373.437,82",120,"R$112.065,93",0
148,62,"R$9.744,34",389,"R$503.651,56",360,"R$242.365,04",0
149,33,"R$15.854,92",474,"R$343.631,73",360,"R$229.821,43",0
150,52,"R$8.082,57",375,"R$441.527,26",240,"R$264.854,32",0
151,59,"R$3.923,32",699,"R$282.878,38",360,"R$109.979,15",0
152,69,"R$8.427,43",370,"R$627.394,10",300,"R$283.498,40",0
153,52,"R$2.000,00",479,"R$376.040,77",360,"R$176.136,11",1
154,24,"R$6.667,24",423,"R$400.876,35",300,"R$234.077,34",0
155,50,"R$12.060,96",680,"R$565.475,44",360,"R$404.766,84",0
156,57,"R$8.812,83",592,"R$341.332,72",360,"R$261.544,79",0
157,43,"R$8.448,54",494,"R$566.738,23",360,"R$382.574,49",0
158,59,"R$12.551,95",527,"R$358.852,88",180,"R$258.903,45",0
159,65,"R$7.323,50",730,"R$467.169,82",180,"R$249.958,27",0
160,35,"R$11.154,55",735,"R$342.731,84",360,"R$169.613,76",1
161,63,"R$8.323,27",760,"R$264.396,36",300,"R$131.234,26",0
162,49,"R$8.950,12",320,"R$441.459,44",240,"R$268.415,84",0
163,56,"R$4.956,74",363,"R$463.990,34",120,"R$168.019,42",0
164,33,"R$6.794,88",464,"R$268.411,43",180,"R$158.294,86",0
165,52,"R$4.506,20",326,"R$369.294,17",360,"R$233.603,09",1
166,27,"R$7.761,89",610,"R$520.075,90",120,"R$270.155,70",0
167,42,"R$8.976,01",584,"R$460.011,90",180,"R$357.237,69",0
168,48,"R$5.224,90",580,"R$360.478,50",240,"R$217.767,45",0
169,22,"R$13.122,95",463,"R$340.247,43",300,"R$139.501,36",0
170,62,"R$8.695,27",523,"R$594.824,43",360,"R$320.972,10",0
171,65,"R$8.144,49",445,"R$255.306,79",240,"R$162.809,71",0
172,26,"R$9.924,14",329,"R$394.080,14",180,"R$181.991,95",1
173,48,"R$5.927,68",344,"R$253.530,31",360,"R$86.154,87",1
174,48,"R$8.408,69",770,"R$531.481,46",120,"R$314.487,05",0
175,64,"R$6.207,83",333,"R$399.287,64",300,"R$309.022,71",0
176,64,"R$11.896,70",726,"R$417.817,41",180,"R$226.680,98",0
177,40,"R$5.353,40",520,"R$676.889,23",300,"R$509.734,51",0
178,50,"R$8.157,91",833,"R$340.652,73",360,"R$244.422,35",1
179,31,"R$8.823,29",666,"R$574.857,59",240,"R$214.827,96",0
180,48,"R$8.987,06",849,"R$360.926,81",300,"R$236.076,80",0
181,45,"R$6.546,91",415,"R$376.648,75",120,"R$195.003,40",0
182,59,"R$5.761,23",538,"R$663.817,53",180,"R$282.204,21",0
183,53,"R$6.583,01",634,"R$383.890,96",120,"R$247.022,00",0
184,21,"R$9.320,81",740,"R$262.562,86",300,"R$176.266,42",0
185,47,"R$7.640,39",447,"R$428.191,88",240,"R$166.972,64",0
186,33,"R$9.990,52",308,"R$382.726,32",240,"R$289.808,92",0
187,61,"R$9.192,51",587,"R$436.709,58",120,"R$295.029,47",0
188,23,"R$2.307,72",687,"R$386.640,22",360,"R$296.432,32",1
189,59,"R$8.618,74",349,"R$621.554,46",360,"R$285.005,47",1
190,26,"R$13.626,14",816,"R$455.673,58",240,"R$350.717,15",0
191,28,"R$11.313,17",577,"R$292.503,54",120,"R$141.647,42",0
192,47,"R$9.055,03",599,"R$412.454,68",120,"R$134.866,44",0
193,29,"R$5.351,52",434,"R$320.037,02",120,"R$218.100,33",1
194,57,"R$9.193,88",446,"R$375.228,62",300,"R$244.556,78",0
195,53,"R$9.849,37",789,"R$308.955,93",360,"R$185.050,85",0
196,62,"R$7.365,63",777,"R$610.711,85",360,"R$332.805,51",0
197,64,"R$8.791,86",458,"R$330.861,54",300,"R$104.579,59",0
198,44,"R$11.774,16",683,"R$468.756,44",180,"R$287.018,92",0
199,35,"R$5.856,81",462,"R$367.652,06",300,"R$186.920,67",0
200,52,"R$5.354,25",740,"R$284.158,68",120,"R$164.841,79",0
201,52,"R$9.731,75",488,"R$419.764,93",300,"R$216.036,50",0
202,44,"R$9.143,86",714,"R$440.069,18",120,"R$344.586,52",0
203,61,"R$10.572,10",638,"R$455.862,65",240,"R$274.454,14",0
204,69,"R$9.424,48",480,"R$137.778,08",120,"R$92.947,60",0
205,69,"R$6.580,61",587,"R$276.515,43",360,"R$212.411,82",0
206,32,"R$9.080,48",486,"R$495.755,47",300,"R$295.370,94",0
207,59,"R$5.144,68",437,"R$307.639,30",120,"R$94.147,24",0
208,22,"R$7.374,20",429,"R$420.294,41",180,"R$133.294,62",0
209,23,"R$9.257,00",493,"R$274.197,53",240,"R$178.548,99",0
210,69,"R$7.098,71",615,"R$473.160,11",180,"R$207.974,01",1
211,57,"R$14.170,13",443,"R$493.126,96",180,"R$290.791,97",0
212,69,"R$3.269,54",315,"R$473.190,99",180,"R$189.815,17",0
213,37,"R$6.631,27",601,"R$503.255,68",240,"R$218.978,84",0
214,69,"R$5.655,55",722,"R$556.390,01",240,"R$307.305,62",0
215,22,"R$6.249,13",544,"R$282.592,59",240,"R$222.622,13",1
216,22,"R$6.392,50",406,"R$321.132,81",240,"R$195.292,18",0
217,48,"R$4.683,95",387,"R$489.754,36",180,"R$376.167,62",1
218,43,"R$9.881,76",428,"R$513.021,98",360,"R$399.998,07",1
219,57,"R$6.632,26",640,"R$332.565,70",360,"R$134.374,83",0
220,52,"R$8.408,93",303,"R$325.611,39",240,"R$148.347,51",0
221,53,"R$6.912,94",626,"R$334.778,65",300,"R$229.322,08",0
222,21,"R$6.272,80",709,"R$239.490,50",120,"R$175.638,02",0
223,39,"R$12.180,70",605,"R$272.858,88",300,"R$152.695,48",0
224,22,"R$10.307,33",524,"R$275.270,74",300,"R$219.284,26",0
225,64,"R$3.329,50",647,"R$370.590,15",300,"R$113.321,32",0
226,46,"R$3.064,66",620,"R$427.083,65",360,"R$192.100,66",0
227,52,"R$10.606,52",480,"R$443.347,28",120,"R$271.142,72",1
228,26,"R$6.700,37",685,"R$349.143,77",300,"R$186.667,96",0
229,52,"R$3.877,29",407,"R$351.601,29",240,"R$125.979,26",0
230,24,"R$10.614,34",830,"R$412.366,15",360,"R$199.541,32",0
231,31,"R$8.422,81",709,"R$250.398,54",240,"R$78.305,53",0
232,37,"R$8.628,93",595,"R$495.944,05",240,"R$308.166,25",0
233,58,"R$10.023,85",470,"R$528.538,53",300,"R$394.485,97",1
234,44,"R$4.725,06",630,"R$337.441,94",240,"R$250.529,40",0
235,25,"R$3.921,25",792,"R$360.156,38",120,"R$234.019,62",0
236,54,"R$11.952,39",494,"R$524.331,22",240,"R$279.408,29",0
237,26,"R$4.407,08",311,"R$387.694,84",300,"R$215.564,46",0
238,42,"R$4.944,41",494,"R$458.824,54",240,"R$169.058,22",0
239,31,"R$5.443,91",789,"R$390.769,46",360,"R$183.860,37",0
240,68,"R$13.199,86",481,"R$555.630,74",360,"R$218.842,97",0
241,36,"R$9.233,46",615,"R$449.007,96",360,"R$319.065,10",0
242,53,"R$10.413,52",329,"R$454.765,58",180,"R$344.428,97",1
243,29,"R$8.490,42",395,"R$456.630,65",360,"R$259.577,00",0
244,26,"R$6.495,28",680,"R$344.488,63",360,"R$228.699,81",0
245,36,"R$9.578,23",743,"R$353.676,09",180,"R$127.582,42",0
246,49,"R$4.108,46",597,"R$476.924,56",360,"R$288.189,93",1
247,23,"R$5.261,79",660,"R$412.641,28",300,"R$268.792,68",1
248,40,"R$9.832,44",673,"R$282.238,90",360,"R$148.566,06",1
249,56,"R$4.606,86",602,"R$587.310,44",360,"R$247.631,54",0
250,39,"R$7.527,30",720,"R$497.807,19",180,"R$367.723,83",0
251,46,"R$7.641,22",545,"R$403.762,63",300,"R$271.108,18",0
252,23,"R$6.678,34",536,"R$372.649,90",240,"R$279.460,83",0
253,39,"R$3.122,20",833,"R$419.867,59",120,"R$297.770,65",0
254,40,"R$6.427,68",484,"R$451.752,01",300,"R$359.227,42",1
255,52,"R$5.937,58",767,"R$196.699,93",240,"R$77.910,16",0
256,27,"R$8.403,60",662,"R$611.234,97",300,"R$209.882,13",0
257,61,"R$8.276,23",582,"R$321.011,57",240,"R$150.394,37",0
258,53,"R$8.944,90",635,"R$399.809,44",240,"R$145.731,38",0
259,60,"R$6.310,03",461,"R$403.486,69",300,"R$226.584,03",0
260,59,"R$9.306,94",459,"R$599.685,02",180,"R$369.714,48",0
261,38,"R$4.109,98",773,"R$391.187,62",300,"R$230.465,96",0
262,60,"R$3.445,24",621,"R$558.850,73",300,"R$240.093,49",0
263,21,"R$2.161,07",311,"R$440.672,75",240,"R$332.448,82",1
264,31,"R$6.751,76",723,"R$303.811,51",120,"R$94.359,66",0
265,48,"R$6.116,75",372,"R$413.470,75",240,"R$195.987,90",0
266,45,"R$9.973,29",500,"R$388.149,13",360,"R$255.982,89",0
267,43,"R$6.378,34",821,"R$291.592,95",300,"R$199.293,42",0
268,51,"R$8.683,44",804,"R$435.772,28",300,"R$221.398,15",0
269,50,"R$10.033,24",338,"R$402.210,27",180,"R$124.063,73",1
270,62,"R$6.284,20",359,"R$455.642,17",240,"R$277.496,03",1
271,55,"R$8.745,13",620,"R$419.335,28",180,"R$139.029,50",0
272,27,"R$10.504,82",734,"R$334.889,71",300,"R$118.526,81",0
273,36,"R$4.904,59",707,"R$476.833,40",240,"R$298.080,65",0
274,46,"R$8.062,13",685,"R$337.560,17",240,"R$154.009,86",0
275,68,"R$6.294,91",377,"R$100.000,00",360,"R$47.401,51",0
276,69,"R$5.063,78",493,"R$412.865,29",360,"R$224.352,46",0
277,22,"R$4.158,87",584,"R$344.592,63",120,"R$271.983,24",0
278,21,"R$5.023,38",826,"R$438.213,05",360,"R$342.998,61",0
279,68,"R$8.150,07",823,"R$599.887,17",240,"R$304.820,97",0
280,32,"R$3.972,89",455,"R$602.773,97",360,"R$260.850,20",1
281,25,"R$6.623,18",639,"R$383.487,71",120,"R$173.066,50",0
282,57,"R$10.032,99",424,"R$317.348,48",300,"R$137.853,21",1
283,52,"R$9.122,53",579,"R$458.468,33",360,"R$259.549,42",0
284,29,"R$6.673,73",427,"R$362.977,44",240,"R$219.031,44",1
285,61,"R$12.224,23",613,"R$439.177,65",300,"R$239.083,79",1
286,55,"R$12.732,59",631,"R$333.913,92",240,"R$168.291,67",0
287,39,"R$8.065,31",449,"R$425.069,24",300,"R$172.426,16",0
288,68,"R$2.000,00",753,"R$318.802,58",240,"R$172.552,79",0
289,36,"R$10.216,12",335,"R$518.425,34",360,"R$243.945,75",0
290,23,"R$2.265,06",719,"R$341.002,23",360,"R$194.643,30",0
291,40,"R$11.690,37",321,"R$466.110,25",120,"R$297.189,43",0
292,44,"R$10.708,96",505,"R$273.523,27",300,"R$168.669,79",0
293,53,"R$12.435,53",655,"R$478.117,39",120,"R$253.997,52",0
294,44,"R$8.650,66",739,"R$303.361,59",180,"R$175.350,95",0
295,31,"R$7.096,54",395,"R$426.117,68",360,"R$188.526,42",0
296,69,"R$6.874,75",463,"R$502.320,10",300,"R$156.784,21",0
297,28,"R$6.634,35",447,"R$380.001,71",120,"R$232.754,74",0
298,56,"R$10.452,67",829,"R$297.083,31",120,"R$126.641,94",0
299,58,"R$9.780,68",593,"R$449.681,25",180,"R$285.312,35",0
300,60,"R$8.300,56",494,"R$315.901,86",120,"R$212.761,25",0
301,40,"R$6.194,55",779,"R$359.575,44",240,"R$272.545,19",0
302,55,"R$14.573,03",422,"R$426.546,27",360,"R$332.305,73",0
303,68,"R$10.280,94",699,"R$536.067,60",120,"R$163.641,62",0
304,45,"R$4.005,72",751,"R$402.655,34",120,"R$320.186,33",1
305,55,"R$6.709,36",403,"R$402.285,75",180,"R$258.069,99",0
306,45,"R$10.329,44",761,"R$473.751,29",240,"R$294.560,59",0
307,49,"R$6.001,15",695,"R$405.037,19",120,"R$124.592,09",0
308,38,"R$8.878,87",636,"R$463.553,02",360,"R$338.679,58",0
309,66,"R$10.376,99",441,"R$507.853,35",360,"R$189.300,16",0
310,38,"R$2.000,00",616,"R$367.226,28",120,"R$263.912,70",0
311,22,"R$7.729,91",826,"R$100.000,00",240,"R$30.778,13",0
312,55,"R$7.828,02",700,"R$318.207,29",360,"R$198.237,46",0
313,36,"R$6.969,82",609,"R$520.868,20",360,"R$269.497,61",0
314,61,"R$8.754,24",794,"R$396.623,52",240,"R$158.801,46",0
315,56,"R$9.643,80",408,"R$366.086,97",240,"R$129.514,50",0
316,53,"R$8.355,13",671,"R$516.678,50",120,"R$268.705,81",0
317,24,"R$7.065,43",505,"R$389.867,51",300,"R$140.996,72",0
318,53,"R$9.581,55",342,"R$190.746,68",180,"R$103.618,04",0
319,34,"R$8.122,63",544,"R$249.469,79",300,"R$152.827,32",0
320,41,"R$7.423,25",586,"R$441.864,80",300,"R$315.355,42",1
321,68,"R$4.719,30",654,"R$393.310,91",360,"R$251.453,39",0
322,40,"R$4.093,36",775,"R$545.465,65",240,"R$181.421,81",0
323,28,"R$4.671,93",382,"R$326.673,13",360,"R$148.216,91",1
324,27,"R$8.695,82",409,"R$369.049,92",180,"R$163.854,22",0
325,23,"R$7.802,30",489,"R$311.549,69",120,"R$236.003,94",0
326,37,"R$4.299,29",550,"R$347.940,58",180,"R$255.350,47",0
327,53,"R$9.614,79",590,"R$210.809,61",360,"R$102.258,25",0
328,68,"R$11.435,77",500,"R$361.431,53",360,"R$121.288,34",0
329,32,"R$6.503,77",625,"R$394.813,11",360,"R$294.946,58",0
330,42,"R$3.647,55",810,"R$386.366,92",360,"R$287.493,68",0
331,42,"R$6.227,18",708,"R$614.955,33",300,"R$447.301,94",0
332,66,"R$10.136,15",807,"R$583.348,46",120,"R$421.493,07",0
333,50,"R$9.371,32",371,"R$324.910,05",300,"R$175.492,69",0
334,58,"R$5.693,92",546,"R$195.606,33",360,"R$76.035,28",0
335,58,"R$11.802,93",643,"R$390.079,96",240,"R$210.153,25",0
336,65,"R$11.370,70",353,"R$437.651,01",300,"R$239.525,91",1
337,28,"R$6.167,48",827,"R$313.951,59",360,"R$171.092,90",0
338,47,"R$6.141,77",831,"R$318.902,44",360,"R$181.578,68",0
339,47,"R$6.517,93",492,"R$558.255,50",120,"R$239.395,88",0
340,54,"R$6.731,67",357,"R$374.244,84",180,"R$180.805,39",0
341,41,"R$10.376,35",736,"R$466.225,02",300,"R$241.081,83",0
342,50,"R$9.063,32",410,"R$306.969,43",300,"R$112.215,93",0
343,53,"R$10.192,70",428,"R$394.305,95",300,"R$208.068,18",0
344,48,"R$9.683,91",625,"R$366.366,16",360,"R$258.374,17",0
345,67,"R$12.286,32",307,"R$332.462,68",120,"R$237.388,25",0
346,53,"R$5.351,54",328,"R$515.530,04",360,"R$260.745,76",0
347,25,"R$8.950,90",411,"R$261.112,30",360,"R$146.067,31",0
348,68,"R$2.565,45",430,"R$430.005,68",240,"R$136.236,62",0
349,39,"R$4.707,61",487,"R$364.487,83",120,"R$232.257,58",0
350,24,"R$7.812,87",774,"R$441.482,45",300,"R$221.757,93",1
351,55,"R$9.045,52",663,"R$365.842,34",180,"R$191.240,00",0
352,69,"R$7.745,46",503,"R$486.719,31",300,"R$358.632,49",0
353,37,"R$6.582,02",511,"R$306.029,74",360,"R$162.476,46",0
354,64,"R$7.026,46",575,"R$515.755,32",120,"R$160.191,60",0
355,48,"R$11.423,60",372,"R$397.119,73",120,"R$164.306,48",0
356,50,"R$7.039,92",542,"R$267.149,75",120,"R$143.675,89",0
357,49,"R$12.373,10",401,"R$468.021,55",240,"R$239.719,77",0
358,66,"R$9.985,04",470,"R$380.115,03",300,"R$277.554,32",0
359,26,"R$9.143,84",487,"R$229.216,21",240,"R$130.898,22",0
360,55,"R$5.016,01",740,"R$433.246,81",180,"R$279.365,29",0
361,61,"R$10.338,10",385,"R$500.659,57",360,"R$267.683,47",0
362,57,"R$6.765,57",775,"R$528.213,57",240,"R$274.580,13",0
363,44,"R$5.013,90",351,"R$362.164,81",240,"R$189.464,11",0
364,49,"R$9.282,11",410,"R$414.531,81",360,"R$209.529,57",0
365,69,"R$4.530,13",342,"R$405.053,63",120,"R$230.593,67",0
366,66,"R$6.094,40",510,"R$548.980,26",360,"R$233.438,32",0
367,51,"R$7.974,71",499,"R$318.951,14",300,"R$237.786,88",0
368,55,"R$13.546,05",325,"R$353.534,05",360,"R$164.938,76",0
369,53,"R$6.282,71",598,"R$316.527,97",120,"R$118.306,10",0
370,41,"R$6.854,46",376,"R$255.084,95",360,"R$88.839,77",0
371,52,"R$9.830,86",436,"R$424.778,72",240,"R$130.284,50",0
372,43,"R$4.904,26",319,"R$560.129,83",180,"R$286.466,10",1
373,53,"R$9.107,02",739,"R$380.151,55",240,"R$149.705,77",0
374,23,"R$11.014,82",510,"R$311.810,34",180,"R$96.918,12",0
375,38,"R$7.232,26",734,"R$418.685,97",360,"R$234.468,24",0
